SPI1,SPI3,SPI6,SPI12
0.650064275,-0.583325116,-1.433872005,-1.499693652
-0.228192113,-0.656664948,-1.999685568,-1.580368368
1.107209393,0.871513384,-0.457057326,-1.132920705
2.205513544,2.035937459,1.913459925,-0.154429864
-0.325497016,1.680803056,1.509630087,0.04878233
0.028594974,1.245307845,1.397852097,0.191837569
1.807422745,0.839388324,1.940651417,0.902362474
1.465301076,1.547195512,2.120502202,1.279421512
1.583666032,2.27040252,2.290912031,1.941584964
-0.175120583,1.612913141,1.478454136,2.01304537
-0.372441349,0.807026496,1.56198748,1.970931059
0.293937711,-0.476721364,1.77619543,1.991777622
0.030815388,-0.340937654,1.303677884,1.952098319
-0.776868534,-0.454662883,0.600770867,1.918809879
1.894302429,1.442882277,0.722062945,2.147702373
-1.186765099,0.537440245,0.255890421,1.353671642
-2.252209585,-0.236561214,-0.411897173,1.115772908
-0.576074912,-2.265094168,-0.727135479,1.030673301
0.010558302,-1.267050344,-0.723722348,0.366947609
1.364870481,0.393874998,0.065191507,0.309770256
-0.695092778,0.388689107,-0.877008434,-0.44911977
0.103920983,0.485746788,-0.483017858,-0.354463406
-0.370190717,-0.66006355,-0.068018969,-0.342832239
0.108546274,-0.345854701,0.131265323,-0.355687585
0.622634667,-0.301772014,0.261689965,-0.322656573
1.022249874,0.652178276,-0.41005221,-0.171810433
0.395322766,0.635185448,0.107419414,-0.686270032
0.09187055,0.351659335,0.068535231,-0.445624853
-0.177202748,-0.069430148,0.065981479,-0.090610081
-0.899611408,-0.738753044,-0.355982345,-0.180216968
-0.436676614,-0.92881549,-0.634418545,-0.386326066
-0.045011082,-0.760203527,-0.712344261,-0.951535327
0.426183642,-0.173687628,-0.633623565,-0.563375389
1.50730605,0.800615565,-0.084356224,-0.104325278
1.685961791,1.549335814,0.462575987,0.337515776
0.950831556,2.161971732,0.915109761,0.435312688
0.217901881,1.712452818,1.334657657,0.414323056
-0.237892741,0.501627092,1.529412627,0.306235148
-0.907249314,-0.8212937,1.342393763,0.0886407
0.879337635,0.130019774,1.044059125,0.330482068
-0.090054212,0.021774568,0.103516012,0.363403105
-1.33271803,-0.262098687,-0.664619483,0.298650316
-0.066239233,-0.82323598,-0.719323952,0.395267623
-0.678688622,-1.024800527,-0.823287707,0.231747415
0.028213426,-0.49928036,-0.574199119,0.12252752
0.573982477,-0.24138289,-0.722804352,-0.154056902
-1.551495049,-0.21304916,-0.90918715,-0.732602476
-0.736474428,-0.571244637,-0.69216982,-0.919499855
-0.595315543,-1.913126005,-0.828021648,-0.939373084
-0.488702546,-1.388820291,-0.590220463,-0.951295227
0.029196581,-0.296814694,-0.748885669,-0.801054058
1.222117303,0.72421438,-0.014555873,-0.68030646
-0.076374668,0.577495575,0.237515329,-0.636235099
-0.983880966,0.132577451,-0.100138014,-0.629353647
-0.181438744,-0.7659385,-0.229616762,-0.798189666
-1.432878487,-1.26233113,-0.54153872,-0.896046851
-0.036555097,-0.864413925,-0.536915354,-0.857307809
-0.164826828,-0.973638227,-1.118687851,-0.991304202
-1.011624554,-0.582916876,-1.29894082,-0.927756364
-0.449682761,-1.05493837,-1.182586057,-0.887196195
0.756474294,-0.950321416,-1.270186645,-0.815610092
0.039440602,-0.312574503,-0.675383759,-0.770908136
0.296500936,0.269540517,-0.63131424,-0.725777793
-0.75411874,-0.41542522,-1.06117319,-1.471105186
-0.524887284,-0.731958235,-0.851701558,-1.546983541
0.33032657,-0.658146606,-0.506937352,-1.234178254
-0.068757214,-0.288538378,-0.62959826,-1.401885176
-0.348173203,-0.161603915,-0.673557754,-1.061231592
-0.060882974,-0.405285577,-0.753797057,-1.002189431
-1.61183097,-0.95405632,-0.763055403,-1.155227583
1.45683711,0.060095648,-0.144298367,-0.615289403
0.612636631,0.371158239,-0.200263646,-0.483515914
-0.682711067,1.263692311,-0.198567585,-0.536614307
0.013919705,0.083275936,0.022655491,-0.535225344
