SPI1,SPI3,SPI6,SPI12
1.086080226,-0.254180657,0.852358053,0.933504372
-0.293434824,0.525569575,0.763615613,0.824672935
0.723036169,0.834426344,0.119316165,0.855874421
-0.926103529,-0.54288907,-0.429273078,0.76897747
0.180525386,-0.079898206,0.326732097,0.735987311
-0.292330659,-0.444714109,0.089087443,0.472097336
-0.62889827,-0.664999171,-0.892806774,0.212392546
0.613617838,-0.390588168,-0.48132282,0.319486861
-1.046927669,-0.739847355,-1.025349194,-0.6731642
0.012531701,-0.311348833,-0.766513422,-0.940136671
-0.017889264,-0.675934559,-0.872527197,-0.531051255
1.47592461,0.794261038,0.014578256,-0.002827003
-0.407479251,0.627111415,0.168773088,-0.423954523
-0.28032563,0.72600072,-0.105698301,-0.421140823
0.109335174,-0.613501505,0.361328982,-0.459636168
0.375830615,-0.129322604,0.475206985,-0.320820457
0.421122984,0.371822134,0.716791756,-0.264642103
1.09032706,0.962983344,0.478190303,0.202443683
-0.213121945,0.594344442,0.461865723,0.326546718
-0.886863843,0.024739049,0.13788913,-0.048186429
-0.668253719,-1.128654936,-0.273054393,0.016166148
-0.023414498,-0.901448866,-0.311664834,0.018336123
-1.274843107,-1.117918143,-0.88958174,-0.289828312
-1.880348047,-1.735134441,-2.081552716,-1.498096475
0.442695104,-1.340198885,-1.668382403,-1.114200299
0.143345262,-0.792645108,-1.385365391,-1.041967338
1.221790847,0.566253814,-0.99999758,-0.906778201
-0.275165835,0.258378455,-1.04899326,-0.959252623
1.870414689,1.681972006,0.406770288,-0.471349487
2.281997272,2.514550349,2.59148937,0.151530301
0.494161636,2.469873728,2.444020284,0.38995106
0.774708148,2.139335358,2.756805015,0.785141997
1.438964051,1.373542413,2.789973294,1.585368328
1.130251485,1.59321724,2.758204912,1.816529698
0.732192522,1.618893394,2.619311463,2.34905708
0.510752248,1.150902727,1.777673809,3.069715968
-0.615955303,0.325170132,1.434904159,2.64833726
-0.295983319,-0.187929056,1.184423322,2.578601708
0.298187773,-0.731092087,0.62982261,2.447794957
-0.572467101,-0.586691621,0.079666253,2.366090023
2.750661295,2.270214863,1.196154651,2.639365254
-1.590623159,0.971499353,0.432955683,1.508315245
-1.740839477,0.156664756,-0.113281988,1.057263715
0.918195449,-1.256755239,0.419775111,1.108411823
0.864754011,0.165050842,0.702684239,0.895878772
1.820406172,1.651960839,1.364371686,1.114586505
0.379009742,1.474406488,0.515687613,1.061237255
0.187648949,1.256401579,0.968098487,1.060324271
-0.128486302,0.109647192,1.359370806,1.087192126
0.24693813,-0.033262852,1.128570084,1.142861291
0.603108655,-0.010394589,0.971541572,1.13430574
1.571784661,1.095920341,0.433543568,1.341011722
-0.14135642,0.637827451,0.251185732,0.487181714
0.659514829,0.727822687,0.553004429,0.941235589
0.538683837,0.518510074,0.847664213,1.461752458
-0.584379749,0.305534897,0.535888521,1.122290871
-0.314173698,-0.300192906,0.155710921,0.767798476
-0.005378085,-0.579455713,-0.156887661,0.106759295
-0.048533243,-0.361247092,-0.149552513,-0.024751094
1.14409765,0.529578986,0.105734413,0.353998199
1.8540554,1.416108868,0.629685542,0.97299904
1.714413615,2.238710799,1.166386492,1.239449064
0.6187125,2.326815179,1.549808585,1.208437233
0.192434406,1.456729469,1.650661391,1.004551189
-0.773102658,-0.437572106,1.744838193,0.897864051
0.873680397,0.261714123,1.730817534,0.927597311
0.932178891,0.73909982,1.199409583,1.086588796
-1.442824506,0.457231004,0.144073709,0.956596526
-0.522217951,-0.409173488,-0.267564635,0.951846969
-0.462168175,-1.274145675,-0.426598888,0.80472481
0.101930234,-0.606604345,-0.215587079,0.885230848
0.902085946,0.229234322,-0.191360726,0.87084055
-1.702930462,-0.053680933,-1.001271033,-0.091619214
-0.92750329,-0.365567885,-0.746376812,-0.562529611
-0.626900248,-2.117678194,-0.586432032,-0.632122795
-0.696999471,-1.418829502,-0.469927817,-0.704520413
0.10860432,-0.406853467,-0.585534768,-0.527175521
1.256041864,0.767753825,-0.316846814,-0.332458875
1.635585837,1.746927047,1.312422047,0.006641104
-1.742417351,1.230175251,0.917409124,-0.047538115
0.174821612,0.452308721,0.795583244,0.153956367
-0.350968104,-0.845473633,0.633727835,0.183541365
0.605294306,0.108236475,0.854442554,0.351033714
0.661323541,0.402369646,0.565097246,0.279458235
-0.418167436,0.402527551,-0.361551788,0.469730008
-1.432599139,-0.199685557,-0.094468415,0.429046413
1.081239212,-0.696226444,-0.001793442,0.533531352
0.536414796,-0.122170448,0.276166089,0.636393751
1.059836419,1.176200211,0.455917664,0.86039584
-0.726390472,0.205153365,-0.312152085,0.246330705
-0.115998786,-0.082177328,-0.187004976,-0.434771835
0.537284981,-0.348389802,0.29908389,0.049880838
0.747551063,0.473374993,0.44711418,0.269267819
-0.310699729,0.435047628,0.195986141,0.275790064
0.382906966,0.372039577,-0.002399759,0.211938253
-1.384272407,-0.736480526,-0.143365375,-0.375803429
-0.111566387,-0.565807731,-0.081661954,-0.258041868
0.826564323,-0.676015489,-0.120833165,0.025282079
-0.240402999,0.137806471,-0.548849775,-0.077982408
-0.585124929,0.128903621,-0.478665275,-0.191724591
0.505808789,0.05219635,-0.579067107,-0.354213154
-0.925638014,-0.542851989,-0.480616095,-0.371472652
2.038449118,1.206327581,1.144274488,0.532901827
0.330403072,1.188640166,1.069193998,0.474020117
0.321816178,1.462219938,0.96604101,0.311837664
0.897835429,0.624232509,1.180543624,0.650057473
0.158781585,0.557944542,1.155031919,0.613868161
-1.42522015,-0.129877571,1.055803232,0.664878004
0.027907422,-0.657090087,0.025490993,0.660791458
0.504229188,-0.762209984,-0.001811835,0.596467914
0.445683045,0.200131436,-0.058979531,0.62380718
2.250192304,1.655209926,0.080226401,0.975468735
0.797580504,1.572528489,0.347836722,1.040267843
1.097911604,1.659128988,1.563006218,1.496149742
-1.29000216,0.309245475,0.912582837,0.47405726
-4.07861514,-1.293746007,-0.149019626,-0.125209622
-1.261748214,-3.187013835,-0.761743372,-0.632751528
-0.065437878,-2.013817382,-1.192970778,-0.912882074
0.020831586,-0.777784024,-1.554629206,-1.014185627
-0.160465866,-0.289006733,-2.263836794,-0.79761416
0.597833309,0.071088579,-1.337004956,-0.545111657
-0.8352754,-0.121997793,-0.7269724,-0.731374047
0.331161676,0.126321773,-0.216487909,-0.721397174
-0.595667409,-0.917585912,-0.23675363,-1.153087342
0.025469117,-0.233573282,-0.295414716,-1.378842753
-0.540635815,-0.634179338,-0.562606616,-1.936538477
0.55340211,-0.070536186,-0.439288682,-1.311381934
1.292739477,0.683025462,0.45299335,-0.316419675
0.82910643,1.240348582,0.70364339,0.318597465
-0.025584985,0.961904443,0.641149298,0.323051404
-1.646657834,-0.219277509,0.223835045,-0.03276895
-0.720841761,-1.388171919,0.188032011,-0.205176544
-1.140776527,-1.881357114,-0.288184342,-0.585808638
0.268718771,-1.138806068,-0.847011897,-0.439525512
-0.60489611,-0.997073187,-1.592737033,-0.485948122
0.107191276,-0.10832365,-1.618954596,-0.403323649
-1.569999295,-1.318571693,-1.689438774,-0.677677492
-0.434808201,-1.119925725,-1.708745471,-0.613645287
-1.04383429,-1.748531914,-1.681273993,-1.112304665
-0.264829961,-1.283740394,-1.931267282,-1.716109499
0.215355429,-0.7223746,-1.426929727,-2.204181548
0.628771257,0.182024334,-0.947120691,-1.808207464
1.1695305,0.871313972,-0.080482548,-0.977532162
1.145579115,1.483674634,0.579874379,-0.370941977
0.836741408,1.466171859,1.14925259,0.152600321
-0.180215865,1.074836139,1.221665938,0.085319299
-1.527520358,0.305593673,1.282071808,0.053016964
2.346859331,1.054485216,1.564992507,0.400892725
1.157720975,1.656881319,1.688340382,0.907773869
1.632245049,2.225066158,2.178487487,1.494246858
0.416895125,1.634916593,1.87009288,1.855654989
-2.318705844,0.502187909,1.308513279,1.600235667
-0.211400638,-0.862641352,0.991894438,1.572099185
-1.188747343,-1.693529129,0.099325302,1.102259553
0.325939085,-0.589761131,-0.170676808,0.878068545
0.497692504,-0.200728414,-0.825695204,0.705076231
-0.82360277,0.017145468,-1.2014207,0.265375733
-1.820800929,-0.57848203,-0.855842024,0.128408245
0.6382383,-1.295331852,-0.7278172,0.233337572
1.370460819,0.184945726,0.033163111,0.045495868
0.425390097,0.920339951,0.027127479,-0.163756346
-0.612651401,0.14225686,-0.667254623,-0.970227501
-0.10227409,-0.37924975,-0.345020458,-1.157048732
0.081626531,-0.576699858,-0.053351578,-0.706532826
-0.460419989,-0.485315633,-0.413658637,-0.863663051
-4.463373542,-1.444612056,-1.399125755,-1.096100377
0.797673209,-0.948574694,-1.206986306,-0.971482789
1.001407372,-0.046139768,-0.444833308,-0.850905883
-0.385047866,0.727556079,-0.453384427,-0.674056773
-0.369175004,0.303549919,-0.572727359,-0.550534626
-0.091605902,-0.685968248,-0.374298132,-0.592193409
-0.659776969,-0.834506005,0.390870012,-0.840210221
-0.180295861,-0.534346231,-0.076050573,-0.994640519
-1.547309045,-1.330766541,-1.684138506,-1.117769938
-0.220673193,-1.152451836,-1.460736981,-1.15160141
-0.079359981,-1.148023922,-1.411444525,-1.23339594
-0.057332974,-0.406600823,-1.24609063,-1.199434238
0.035032113,-0.197418681,-0.96590308,-0.523095994
0.317384617,-0.01295455,-0.815146556,-0.737990349
-0.189744123,-0.074362962,-0.407716417,-1.341501163
0.509996617,0.169824067,-0.090903458,-0.957105328
1.090524715,0.413286413,0.163139428,-0.684233979
-0.627684535,0.713297044,0.235624316,-0.696214287
0.155473747,0.595509793,0.301304933,-0.595373499
-0.202279723,-0.354933308,0.10136048,-0.602933247
-1.583168809,-1.110790824,-0.485444503,-0.57304351
-0.67304827,-1.506495171,-1.124826291,-0.691561349
-1.106218991,-2.138125478,-2.157958029,-0.960259927
-0.990819245,-1.700606289,-2.285088521,-1.3531436
-0.584554747,-1.466558121,-2.210087393,-1.443245736
1.460423066,0.020577051,-1.326175452,-1.012269489
0.332278136,0.68068486,-0.651976256,-0.93639641
-0.734261624,0.6580448,-0.525564163,-1.184226399
0.096481399,-0.261837985,-0.198322157,-1.388354011
0.644188808,-0.50933233,0.301822556,-1.256631863
0.323601233,0.26695983,0.616544938,-1.201145456
0.630679448,0.644467599,0.0827741,-0.982693655
-0.302866579,0.095274173,-0.317008391,-0.673957492
-2.37003029,-1.148370133,-0.991074456,-0.983597088
-0.320221192,-1.813337271,-1.216278035,-0.832040391
